"STAID","STANAME","CN","LAT","LON","HGHT","lon","lat"
32,"BOURGES                                     ","FR  ","+47:03:33","+002:21:34",161,2.35944444444444,47.0591666666667
33,"TOULOUSE-BLAGNAC                            ","FR  ","+43:37:15","+001:22:44",151,1.37888888888889,43.6208333333333
34,"BORDEAUX-MERIGNAC                           ","FR  ","+44:49:50","-000:41:29",47,-0.691388888888889,44.8305555555556
36,"PERPIGNAN                                   ","FR  ","+42:44:13","+002:52:22",42,2.87277777777778,42.7369444444444
39,"MARIGNANE                                   ","FR  ","+43:26:16","+005:12:57",9,5.21583333333333,43.4377777777778
322,"RENNES-ST JACQUES                           ","FR  ","+48:04:08","-001:44:02",36,-1.73388888888889,48.0688888888889
323,"STRASBOURG-ENTZHEIM                         ","FR  ","+48:32:57","+007:38:25",150,7.64027777777778,48.5491666666667
434,"BREST-GUIPAVAS                              ","FR  ","+48:26:39","-004:24:42",94,-4.41166666666667,48.4441666666667
736,"ABBEVILLE                                   ","FR  ","+50:08:09","+001:50:02",69,1.83388888888889,50.1358333333333
737,"LILLE-LESQUIN                               ","FR  ","+50:34:12","+003:05:51",47,3.0975,50.57
738,"CAEN-CARPIQUET                              ","FR  ","+49:10:48","-000:27:21",67,-0.455833333333333,49.18
740,"ALENCON                                     ","FR  ","+48:26:44","+000:06:37",143,0.110277777777778,48.4455555555556
742,"NANTES-BOUGUENAIS                           ","FR  ","+47:09:00","-001:36:32",26,-1.60888888888889,47.15
745,"DIJON-LONGVIC                               ","FR  ","+47:16:04","+005:05:17",219,5.08805555555556,47.2677777777778
749,"POITIERS - BIARD                            ","FR  ","+46:35:38","+000:18:51",123,0.314166666666667,46.5938888888889
750,"CLERMONT-FERRAND                            ","FR  ","+45:47:12","+003:08:57",331,3.14916666666667,45.7866666666667
756,"TARBES - OSSUN                              ","FR  ","+43:11:17","+000:00:00",360,0,43.1880555555556
758,"BASTIA                                      ","FR  ","+42:32:26","+009:29:07",10,9.48527777777778,42.5405555555556
786,"MONTELIMAR                                  ","FR  ","+44:34:51","+004:43:59",73,4.73305555555556,44.5808333333333
793,"PTE DE LA HAGUE                             ","FR  ","+49:43:31","-001:56:22",6,-1.93944444444444,49.7252777777778
2192,"BASEL-MULHOUSE                              ","FR  ","+47:36:51","+007:30:36",263,7.51,47.6141666666667
2203,"MONT-DE-MARSAN                              ","FR  ","+43:54:34","-000:30:01",59,-0.500277777777778,43.9094444444444
2205,"ST-GIRONS                                   ","FR  ","+43:00:19","+001:06:24",414,1.10666666666667,43.0052777777778
2207,"MONTPELLIER-AEROPORT                        ","FR  ","+43:34:36","+003:57:47",2,3.96305555555556,43.5766666666667
2209,"AJACCIO                                     ","FR  ","+41:55:05","+008:47:34",5,8.79277777777778,41.9180555555556
11244,"PTE DE CHASSIRON                            ","FR  ","+46:02:48","-001:24:42",11,-1.41166666666667,46.0466666666667
11245,"PLOUMANAC'H                                 ","FR  ","+48:49:32","-003:28:23",55,-3.47305555555556,48.8255555555556
11247,"BELLE ILE - LE TALUT                        ","FR  ","+47:17:39","-003:13:05",34,-3.21805555555556,47.2941666666667
11249,"ORLY                                        ","FR  ","+48:43:00","+002:23:03",89,2.38416666666667,48.7166666666667
